title,description

"Admin: create dashboard page","
Follow the steps as described in `DEVELOPER.md` in *Project Alpha*.
"

"CICD: Expand pipeline","
Follow the steps as described in `DEVELOPER.md` in *Project Alpha*.
"

"CICD: Setup pipeline","
Follow the steps as described in `DEVELOPER.md` in *Project Alpha*.
"
